"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","입소정원","자격소유인원수","총인원수","인허가번호","상세영업상태명"
"1262","신성둔촌미소지움2차아파트 경로당","서울특별시 강동구 둔촌동 ","","20010306","운영중","","","","","","","28","0","0","3240000200100015","운영"
"1261","동아하이빌아파트경로당","서울특별시 강동구 천호동 217-132번지 ","","20010117","운영중","","","","","","","50","0","0","3240000200100013","운영"
"1260","구립 쉼터경로당","서울특별시 강동구 천호동 321-22번지 ","","20010622","운영중","","","","","","","0","0","0","3240000200100012","운영"
"1259","장수경로당","서울특별시 강동구 고덕동 167-5번지 ","","20060805","운영중","","","","","","","46","0","46","3240000200600009","운영"
"1258","동원베네스트아파트 경로당","서울특별시 강동구 암사동 670번지 ","","20051212","운영중","","","","","","","0","0","29","3240000200500031","운영"
"1257","암사현대홈타운아파트경로당","서울특별시 강동구 암사동 ","","20050601","운영중","","","","20180405","","","20","0","20","3240000200500016","운영"
"1256","소망경로당","서울특별시 강동구 천호동 26-24번지 ","","20050601","운영중","","","","","","","53","0","80","3240000200500015","운영"
"1255","골드빌경로당","서울특별시 강동구 길동 384-1번지 ","","20050520","운영중","","","","","","","25","0","27","3240000200500014","운영"
"1254","성내삼성목련A 경로당","서울특별시 강동구 성내동 591번지 ","","20080716","운영중","","","","","","","35","0","0","3240000200800032","운영"
"1253","천호현대타워아파트노인회","서울특별시 강동구 천호동 565번지 ","","20080328","운영중","","","","","","","50","0","0","3240000200800017","운영"
"1252","둔촌신동아(아)경로당","서울특별시 강동구 둔촌동 555번지 ","","20091208","운영중","","","","","","","42","0","0","3240000200900049","운영"
"1251","강일리버파크 7단지 경로당","서울특별시 강동구 강일동 686번지 ","","20091124","운영중","","","","","","","0","","0","3240000200900045","운영"
"1250","강일리버파크4단지 경로당","서울특별시 강동구 강일동 673번지 ","","20091007","운영중","","","","","","","39","0","0","3240000200900042","운영"
"1249","강일리버파크10단지경로당","서울특별시 강동구 강일동 695번지 ","","20090903","운영중","","","","","","","54","0","0","3240000200900038","운영"
"1248","강일리버파크3단지경로당","서울특별시 강동구 강일동 ","","20090828","운영중","","","","","","","53","0","0","3240000200900037","운영"
"1247","강일리버파크1단지경로당","서울특별시 강동구 강일동 665번지 ","","20090812","운영중","","","","","","","46","0","0","3240000200900034","운영"
"1246","강동롯데캐슬A경로당","서울특별시 강동구 암사동 ","","20090615","운영중","","","","","","","0","0","0","3240000200900025","운영"
"1245","장생경로당","서울특별시 강동구 암사동 489-52번지 ","","20090602","운영중","","","","","","","50","0","0","3240000200900024","운영"
"1244","프라이어팰리스","서울특별시 강동구 암사동 ","","20090303","운영중","","","","","","","40","0","0","3240000200900011","운영"
"1243","강일리버파크6단지경로당","서울특별시 강동구 강일동 684번지 ","","20091216","운영중","","","","","","","0","0","0","3240000200900052","운영"
"1242","강일리버파크8단지경로당","서울특별시 강동구 강일동 701번지 ","","20091216","운영중","","","","","","","57","0","0","3240000200900051","운영"
"1241","강일리버파크2단지 경로당","서울특별시 강동구 강일동 668번지 ","","20091207","운영중","","","","","","","40","0","0","3240000200900050","운영"
"1240","고덕아이파크경로당","서울특별시 강동구 고덕동 ","","20110127","운영중","","","","","","","0","","","3240000201100004","운영"
