Unnamed: 0,역이름,y,x,호선,geometry,시도,구,동
215,서강대,37.551881,126.935711,['경의선'],POINT (126.935711 37.551881),서울특별시,마포구,노고산동
216,가좌,37.568491,126.915487,['경의선'],POINT (126.915487 37.568491),서울특별시,서대문구,남가좌동
217,수색,37.580842,126.895611,['경의선'],POINT (126.895611 37.580842),서울특별시,은평구,수색동
219,행신,37.612102,126.834146,['경의선'],POINT (126.834146 37.612102),경기도,고양시,덕양구
220,능곡,37.618808,126.820783,"['경의선', '서해선']",POINT (126.820783 37.618808),경기도,고양시,덕양구
221,곡산,37.645676,126.801762,"['경의선', '서해선']",POINT (126.801762 37.645676),경기도,고양시,일산동구
222,백마,37.658239,126.794461,"['경의선', '서해선']",POINT (126.794461 37.658239),경기도,고양시,일산동구
223,풍산,37.672346,126.786243,"['경의선', '서해선']",POINT (126.786243 37.672346),경기도,고양시,일산동구
224,일산,37.682077,126.769846,"['경의선', '서해선']",POINT (126.769846 37.682077),경기도,고양시,일산서구
225,탄현,37.694023,126.761086,['경의선'],POINT (126.761086 37.694023),경기도,고양시,일산서구
226,야당,37.712327,126.761356,['경의선'],POINT (126.761356 37.712327),경기도,파주시,야당동
227,운정,37.725826,126.767257,['경의선'],POINT (126.767257 37.725826),경기도,파주시,야당동
228,금릉,37.751322,126.765347,['경의선'],POINT (126.765347 37.751322),경기도,파주시,금촌동
229,금촌,37.766217,126.774644,['경의선'],POINT (126.774644 37.766217),경기도,파주시,금촌동
230,월롱,37.796188,126.792587,['경의선'],POINT (126.792587 37.796188),경기도,파주시,월롱면
231,파주,37.815298,126.792783,['경의선'],POINT (126.792783 37.815298),경기도,파주시,파주읍
232,문산,37.854619,126.788047,['경의선'],POINT (126.788047 37.854619),경기도,파주시,문산읍
233,신내,37.612887,127.103218,"['06호선', '경춘선']",POINT (127.103218 37.612887),서울특별시,중랑구,망우동
234,갈매,37.634118,127.114757,['경춘선'],POINT (127.114757 37.634118),경기도,구리시,갈매동
235,별내,37.64202,127.12684,"['08호선', '경춘선']",POINT (127.12684 37.64202),경기도,남양주시,별내동
236,퇴계원,37.648311,127.143952,['경춘선'],POINT (127.143952 37.648311),경기도,남양주시,퇴계원읍
237,사릉,37.65108,127.176933,['경춘선'],POINT (127.176933 37.65108),경기도,남양주시,진건읍
238,금곡,37.637382,127.207853,['경춘선'],POINT (127.207853 37.637382),경기도,남양주시,금곡동
239,평내호평,37.653225,127.244493,['경춘선'],POINT (127.244493 37.653225),경기도,남양주시,평내동
240,천마산,37.658978,127.285379,['경춘선'],POINT (127.285379 37.658978),경기도,남양주시,화도읍
