,역이름,y,x,호선,geometry
80,성신여대입구,37.592624,127.016403,"['04호선', '우이신설경전철']",POINT (127.016403 37.592624)
81,보문,37.585286,127.019381,"['06호선', '우이신설경전철']",POINT (127.019381 37.585286)
82,계양,37.571462,126.735637,"['공항철도', '인천선']",POINT (126.735637 37.571462)
83,기흥,37.275619,127.115936,"['수인분당선', '용인경전철']",POINT (127.115936 37.275619)
84,옥수,37.540685,127.017965,"['03호선', '경의선']",POINT (127.017965 37.540685)
85,도곡,37.490858,127.055381,"['03호선', '수인분당선']",POINT (127.055381 37.490858)
86,수서,37.487371,127.10188,"['03호선', 'GTX-A', '수인분당선']",POINT (127.10188 37.487371)
87,용산,37.529849,126.964561,"['01호선', '경의선']",POINT (126.964561 37.529849)
88,종각,37.570161,126.982923,['01호선'],POINT (126.982923 37.570161)
89,종로5가,37.570926,127.001849,['01호선'],POINT (127.001849 37.570926)
90,제기동,37.578103,127.034893,['01호선'],POINT (127.034893 37.578103)
91,을지로입구,37.566014,126.982618,['02호선'],POINT (126.982618 37.566014)
92,탑석,37.733579,127.088704,['의정부경전철'],POINT (127.088704 37.733579)
94,가오리,37.641701,127.016792,['우이신설경전철'],POINT (127.016792 37.641701)
95,화계,37.634802,127.017519,['우이신설경전철'],POINT (127.017519 37.634802)
96,한티,37.496237,127.052873,['수인분당선'],POINT (127.052873 37.496237)
97,구룡,37.486839,127.058856,['수인분당선'],POINT (127.058856 37.486839)
98,홍제,37.589066,126.943736,['03호선'],POINT (126.943736 37.589066)
99,김유정,37.818466,127.71434,['경춘선'],POINT (127.71434 37.818466)
100,남춘천,37.864007,127.723792,['경춘선'],POINT (127.723792 37.864007)
101,성균관대,37.300349,126.97075,['01호선'],POINT (126.97075 37.300349)
102,경찰병원,37.495918,127.12454,['03호선'],POINT (127.12454 37.495918)
103,구일,37.496756,126.870793,['01호선'],POINT (126.870793 37.496756)
104,야탑,37.411185,127.128715,['수인분당선'],POINT (127.128715 37.411185)
105,삼송,37.653083,126.895558,['03호선'],POINT (126.895558 37.653083)
106,화정,37.634592,126.83265,['03호선'],POINT (126.83265 37.634592)
107,영등포시장,37.522669,126.905139,['05호선'],POINT (126.905139 37.522669)
108,상일동,37.556712,127.166417,['05호선'],POINT (127.166417 37.556712)
109,공릉,37.625742,127.072896,['07호선'],POINT (127.072896 37.625742)
110,상도,37.502834,126.94791,['07호선'],POINT (126.94791 37.502834)
111,박촌,37.553703,126.745077,['인천선'],POINT (126.745077 37.553703)
112,구성,37.298969,127.105664,"['GTX-A', '수인분당선']",POINT (127.105664 37.298969)
113,인하대,37.448493,126.649619,['수인분당선'],POINT (126.649619 37.448493)
114,숭의,37.460789,126.638297,['수인분당선'],POINT (126.638297 37.460789)
115,센트럴파크,37.393054,126.634729,['인천선'],POINT (126.634729 37.393054)
116,국제업무지구,37.399907,126.630347,['인천선'],POINT (126.630347 37.399907)
117,강매,37.612314,126.843223,['경의선'],POINT (126.843223 37.612314)
118,달월,37.379681,126.745177,['수인분당선'],POINT (126.745177 37.379681)
119,원흥,37.650658,126.872642,['03호선'],POINT (126.872642 37.650658)
120,완정,37.592928,126.673203,['인천2호선'],POINT (126.673203 37.592928)
121,지평,37.476444,127.629617,['경의선'],POINT (127.629617 37.476444)
122,석바위시장,37.457611,126.692575,['인천2호선'],POINT (126.692575 37.457611)
123,상왕십리,37.564354,127.029354,['02호선'],POINT (127.029354 37.564354)
124,한양대,37.555273,127.043655,['02호선'],POINT (127.043655 37.555273)
125,뚝섬,37.547184,127.047367,['02호선'],POINT (127.047367 37.547184)
126,성수,37.544581,127.055961,['02호선'],POINT (127.055961 37.544581)
127,청계산입구,37.447211,127.055664,['신분당선'],POINT (127.055664 37.447211)
128,북한산우이,37.663146,127.012789,['우이신설경전철'],POINT (127.012789 37.663146)
129,구의,37.537077,127.085916,['02호선'],POINT (127.085916 37.537077)
130,잠실나루,37.520733,127.10379,['02호선'],POINT (127.10379 37.520733)
131,잠실새내,37.511687,127.086162,['02호선'],POINT (127.086162 37.511687)
132,삼성,37.508844,127.06316,['02호선'],POINT (127.06316 37.508844)
133,역삼,37.500622,127.036456,['02호선'],POINT (127.036456 37.500622)
134,서초,37.491897,127.007917,['02호선'],POINT (127.007917 37.491897)
135,방배,37.481426,126.997596,['02호선'],POINT (126.997596 37.481426)
136,낙성대,37.47693,126.963693,['02호선'],POINT (126.963693 37.47693)
137,서울대입구,37.481247,126.952739,['02호선'],POINT (126.952739 37.481247)
138,봉천,37.482362,126.941892,['02호선'],POINT (126.941892 37.482362)
139,신림,37.484201,126.929715,"['02호선', '신림선']",POINT (126.929715 37.484201)
140,신대방,37.487462,126.913149,['02호선'],POINT (126.913149 37.487462)
141,구로디지털단지,37.485266,126.901401,['02호선'],POINT (126.901401 37.485266)
142,문래,37.517933,126.89476,['02호선'],POINT (126.89476 37.517933)
143,신촌,37.555134,126.936893,"['02호선', '경의선']",POINT (126.936893 37.555134)
144,이대,37.556733,126.946013,['02호선'],POINT (126.946013 37.556733)
145,아현,37.557345,126.956141,['02호선'],POINT (126.956141 37.557345)
146,용답,37.561904,127.050899,['02호선'],POINT (127.050899 37.561904)
147,신답,37.57004,127.046481,['02호선'],POINT (127.046481 37.57004)
148,도림천,37.514287,126.882768,['02호선'],POINT (126.882768 37.514287)
149,양천구청,37.512398,126.865819,['02호선'],POINT (126.865819 37.512398)
150,신정네거리,37.520074,126.852912,['02호선'],POINT (126.852912 37.520074)
151,용두,37.574028,127.038091,['02호선'],POINT (127.038091 37.574028)
152,지축,37.648048,126.913951,['03호선'],POINT (126.913951 37.648048)
153,구파발,37.636763,126.918821,['03호선'],POINT (126.918821 37.636763)
154,녹번,37.600927,126.935756,['03호선'],POINT (126.935756 37.600927)
155,무악재,37.582299,126.950291,['03호선'],POINT (126.950291 37.582299)
156,독립문,37.574571,126.957748,['03호선'],POINT (126.957748 37.574571)
157,경복궁,37.575762,126.97353,['03호선'],POINT (126.97353 37.575762)
158,안국,37.576477,126.985443,['03호선'],POINT (126.985443 37.576477)
159,동대입구,37.559052,127.005602,['03호선'],POINT (127.005602 37.559052)
160,금호,37.548034,127.015872,['03호선'],POINT (127.015872 37.548034)
161,압구정,37.527072,127.028461,['03호선'],POINT (127.028461 37.527072)
162,신사,37.516334,127.020114,"['03호선', '신분당선']",POINT (127.020114 37.516334)
163,잠원,37.512759,127.01122,['03호선'],POINT (127.01122 37.512759)
164,남부터미널,37.485013,127.016189,['03호선'],POINT (127.016189 37.485013)
165,매봉,37.486947,127.046769,['03호선'],POINT (127.046769 37.486947)
166,대치,37.494612,127.063642,['03호선'],POINT (127.063642 37.494612)
167,학여울,37.496663,127.070594,['03호선'],POINT (127.070594 37.496663)
168,대청,37.493514,127.079532,['03호선'],POINT (127.079532 37.493514)
169,일원,37.483681,127.08439,['03호선'],POINT (127.08439 37.483681)
171,상계,37.660878,127.073572,['04호선'],POINT (127.073572 37.660878)
172,쌍문,37.648627,127.034709,['04호선'],POINT (127.034709 37.648627)
173,수유,37.638052,127.025732,['04호선'],POINT (127.025732 37.638052)
174,미아,37.62667,127.025983,['04호선'],POINT (127.025983 37.62667)
175,미아사거리,37.613292,127.030053,['04호선'],POINT (127.030053 37.613292)
176,길음,37.603407,127.025053,['04호선'],POINT (127.025053 37.603407)
177,한성대입구,37.588458,127.006221,['04호선'],POINT (127.006221 37.588458)
178,혜화,37.582336,127.001844,['04호선'],POINT (127.001844 37.582336)
179,명동,37.560989,126.986325,['04호선'],POINT (126.986325 37.560989)
180,회현,37.558514,126.978246,['04호선'],POINT (126.978246 37.558514)
181,숙대입구,37.54456,126.972106,['04호선'],POINT (126.972106 37.54456)
182,신용산,37.52917,126.967894,['04호선'],POINT (126.967894 37.52917)
183,남태령,37.463873,126.989134,['04호선'],POINT (126.989134 37.463873)
184,남영,37.541021,126.9713,['01호선'],POINT (126.9713 37.541021)
185,노량진,37.514219,126.942454,"['01호선', '09호선']",POINT (126.942454 37.514219)
186,대방,37.513342,126.926382,"['01호선', '신림선']",POINT (126.926382 37.513342)
187,영등포,37.515504,126.907628,['01호선'],POINT (126.907628 37.515504)
188,서빙고,37.519594,126.988537,['경의선'],POINT (126.988537 37.519594)
189,한남,37.52943,127.009169,['경의선'],POINT (127.009169 37.52943)
190,응봉,37.549946,127.034538,['경의선'],POINT (127.034538 37.549946)
191,외대앞,37.596073,127.063549,['01호선'],POINT (127.063549 37.596073)
192,신이문,37.601854,127.067325,['01호선'],POINT (127.067325 37.601854)
193,월계,37.633212,127.058831,['01호선'],POINT (127.058831 37.633212)
194,녹천,37.644799,127.051269,['01호선'],POINT (127.051269 37.644799)
195,개포동,37.489116,127.06614,['수인분당선'],POINT (127.06614 37.489116)
196,대모산입구,37.491373,127.07272,['수인분당선'],POINT (127.07272 37.491373)
197,양원,37.606596,127.107906,['경의선'],POINT (127.107906 37.606596)
198,구리,37.603392,127.143869,"['08호선', '경의선']",POINT (127.143869 37.603392)
199,도농,37.608806,127.161153,['경의선'],POINT (127.161153 37.608806)
200,양정,37.60533,127.19364,['경의선'],POINT (127.19364 37.60533)
201,덕소,37.586781,127.208832,['경의선'],POINT (127.208832 37.586781)
202,도심,37.579622,127.222672,['경의선'],POINT (127.222672 37.579622)
203,팔당,37.547371,127.243939,['경의선'],POINT (127.243939 37.547371)
204,운길산,37.554669,127.310115,['경의선'],POINT (127.310115 37.554669)
205,양수,37.545981,127.329098,['경의선'],POINT (127.329098 37.545981)
206,신원,37.525545,127.372921,['경의선'],POINT (127.372921 37.525545)
207,국수,37.516169,127.399367,['경의선'],POINT (127.399367 37.516169)
208,아신,37.51382,127.443173,['경의선'],POINT (127.443173 37.51382)
209,오빈,37.506062,127.473868,['경의선'],POINT (127.473868 37.506062)
211,원덕,37.468672,127.547076,['경의선'],POINT (127.547076 37.468672)
212,용문,37.48223,127.594647,['경의선'],POINT (127.594647 37.48223)
215,서강대,37.551881,126.935711,['경의선'],POINT (126.935711 37.551881)
216,가좌,37.568491,126.915487,['경의선'],POINT (126.915487 37.568491)
217,수색,37.580842,126.895611,['경의선'],POINT (126.895611 37.580842)
219,행신,37.612102,126.834146,['경의선'],POINT (126.834146 37.612102)
220,능곡,37.618808,126.820783,"['경의선', '서해선']",POINT (126.820783 37.618808)
221,곡산,37.645676,126.801762,"['경의선', '서해선']",POINT (126.801762 37.645676)
222,백마,37.658239,126.794461,"['경의선', '서해선']",POINT (126.794461 37.658239)
223,풍산,37.672346,126.786243,"['경의선', '서해선']",POINT (126.786243 37.672346)
